!MOLECULE
HC15N
!MOLECULAR WEIGHT
28.0
!NUMBER OF ENERGY LEVELS
30
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
    1        0.0000    1.0     0
    2        2.8705    3.0     1
    3        8.6114    5.0     2
    4       17.2226    7.0     3
    5       28.7039    9.0     4
    6       43.0550   11.0     5
    7       60.2756   13.0     6
    8       80.3653   15.0     7
    9      103.3237   17.0     8
   10      129.1503   19.0     9
   11      157.8444   21.0    10
   12      189.4054   23.0    11
   13      223.8325   25.0    12
   14      261.1251   27.0    13
   15      301.2823   29.0    14
   16      344.3030   31.0    15
   17      390.1865   33.0    16
   18      438.9316   35.0    17
   19      490.5371   37.0    18
   20      545.0021   39.0    19
   21      602.3251   41.0    20
   22      662.5050   43.0    21
   23      725.5402   45.0    22
   24      791.4295   47.0    23
   25      860.1713   49.0    24
   26      931.7640   51.0    25
   27     1006.2061   53.0    26
   28     1083.4957   55.0    27
   29     1163.6313   57.0    28
   30     1246.6108   59.0    29
!NUMBER OF RADIATIVE TRANSITIONS
29
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
    1     2     1   2.2029e-05      86.0549610      4.13
    2     3     2   2.1146e-04     172.1079560     12.39
    3     4     3   7.6473e-04     258.1571000     24.78
    4     5     4   1.8793e-03     344.2003199     41.30
    5     6     5   3.7541e-03     430.2357675     61.95
    6     7     6   6.5851e-03     516.2614602     86.72
    7     8     7   1.0572e-02     602.2754469    115.63
    8     9     8   1.5913e-02     688.2757768    148.66
    9    10     9   2.2799e-02     774.2604988    185.82
   10    11    10   3.1433e-02     860.2276619    227.10
   11    12    11   4.2016e-02     946.1753151    272.51
   12    13    12   5.4726e-02    1032.1015075    322.04
   13    14    13   6.9774e-02    1118.0042881    375.70
   14    15    14   8.7350e-02    1203.8817059    433.47
   15    16    15   1.0766e-01    1289.7318099    495.37
   16    17    16   1.3087e-01    1375.5526491    561.39
   17    18    17   1.5718e-01    1461.3422725    631.52
   18    19    18   1.8682e-01    1547.0987292    705.77
   19    20    19   2.1995e-01    1632.8200681    784.13
   20    21    20   2.5674e-01    1718.5043383    866.61
   21    22    21   2.9741e-01    1804.1495889    953.19
   22    23    22   3.4215e-01    1889.7538687   1043.88
   23    24    23   3.9109e-01    1975.3152268   1138.68
   24    25    24   4.4456e-01    2060.8317123   1237.59
   25    26    25   5.0256e-01    2146.3013741   1340.59
   26    27    26   5.6538e-01    2231.7222613   1447.70
   27    28    27   6.3328e-01    2317.0924229   1558.90
   28    29    28   7.0623e-01    2402.4099079   1674.19
   29    30    29   7.8468e-01    2487.6727653   1793.58
!NUMBER OF COLL PARTNERS
1
!COLLISIONS BETWEEN
1 HCN-H2 scaled (*1.37) HCN-He from Green & Thaddeus (1974) + Green unpublished rates + extrapolation
!NUMBER OF COLL TRANS
435
!NUMBER OF COLL TEMPS
14
!COLL TEMPS
    5.0   10.0   20.0   30.0   40.0   60.0  100.0  200.0  300.0  400.0  600.0  800.0 1000.0 1200.0
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
    1     2     1  1.3e-11 1.1e-11 9.2e-12 8.4e-12 7.9e-12 7.5e-12 7.4e-12 6.7e-12 6.2e-12 6.0e-12 5.8e-12 5.7e-12 5.7e-12 5.7e-12
    2     3     1  2.9e-11 3.3e-11 3.6e-11 3.8e-11 3.9e-11 4.0e-11 3.9e-11 4.1e-11 4.1e-11 4.2e-11 4.3e-11 4.5e-11 4.6e-11 4.7e-11
    3     3     2  1.6e-11 1.6e-11 1.5e-11 1.5e-11 1.4e-11 1.4e-11 1.3e-11 1.3e-11 1.3e-11 1.2e-11 1.2e-11 1.2e-11 1.2e-11 1.3e-11
    4     4     1  1.2e-12 1.6e-12 2.1e-12 2.2e-12 2.5e-12 2.6e-12 2.8e-12 3.0e-12 3.0e-12 3.1e-12 3.1e-12 3.1e-12 3.2e-12 3.2e-12
    5     4     2  5.9e-11 6.4e-11 6.8e-11 6.9e-11 7.0e-11 7.1e-11 6.3e-11 6.9e-11 7.3e-11 7.5e-11 7.9e-11 8.2e-11 8.5e-11 8.8e-11
    6     4     3  1.5e-11 1.5e-11 1.6e-11 1.6e-11 1.6e-11 1.6e-11 1.6e-11 1.6e-11 1.6e-11 1.6e-11 1.6e-11 1.6e-11 1.7e-11 1.7e-11
    7     5     1  5.6e-12 6.2e-12 7.0e-12 7.5e-12 8.1e-12 9.0e-12 9.3e-12 1.1e-11 1.3e-11 1.3e-11 1.5e-11 1.5e-11 1.6e-11 1.6e-11
    8     5     2  3.0e-12 3.4e-12 4.4e-12 4.9e-12 5.3e-12 6.0e-12 6.5e-12 7.2e-12 7.4e-12 7.5e-12 7.6e-12 7.7e-12 7.8e-12 7.9e-12
    9     5     3  6.5e-11 7.1e-11 7.6e-11 7.8e-11 7.9e-11 8.2e-11 7.5e-11 8.1e-11 8.6e-11 8.9e-11 9.5e-11 9.9e-11 1.0e-10 1.1e-10
   10     5     4  1.9e-11 1.7e-11 1.6e-11 1.7e-11 1.7e-11 1.7e-11 1.6e-11 1.8e-11 1.8e-11 1.8e-11 1.8e-11 1.9e-11 1.9e-11 1.9e-11
   11     6     1  4.1e-13 6.9e-13 8.2e-13 1.1e-12 1.2e-12 1.4e-12 1.6e-12 1.9e-12 2.0e-12 2.1e-12 2.1e-12 2.2e-12 2.2e-12 2.2e-12
   12     6     2  9.0e-12 1.2e-11 1.5e-11 1.6e-11 1.7e-11 1.9e-11 1.9e-11 2.4e-11 2.7e-11 2.9e-11 3.2e-11 3.3e-11 3.5e-11 3.6e-11
   13     6     3  2.6e-12 4.0e-12 5.3e-12 6.2e-12 6.7e-12 7.7e-12 8.2e-12 9.4e-12 9.9e-12 1.0e-11 1.0e-11 1.1e-11 1.1e-11 1.1e-11
   14     6     4  5.7e-11 7.6e-11 8.5e-11 8.7e-11 8.8e-11 9.1e-11 8.1e-11 8.6e-11 9.1e-11 9.6e-11 1.0e-10 1.1e-10 1.1e-10 1.2e-10
